procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 7674312 286712 8175124    0    0     0     0  706  455 49  2 50  0  0
 2  0      0 7674312 286712 8175124    0    0     0     0  707  452 49  2 50  0  0
 2  0      0 7674312 286712 8175124    0    0     0     0  710  452 48  2 50  0  0
 2  0      0 7674312 286712 8175124    0    0     0     0  711  467 49  2 50  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 7674312 286712 8175124    0    0     0     0  707  456 49  2 50  0  0
 2  0      0 7674312 286712 8175124    0    0     0    16  699  450 49  1 50  0  0
 2  0      0 7672700 286712 8175124    0    0     0     0  743  519 48  3 49  0  0
 2  0      0 7672700 286712 8175128    0    0     0     4  701  450 49  1 50  0  0
 2  0      0 7672700 286712 8175128    0    0     0     0  709  470 49  2 50  0  0
 2  0      0 7672700 286712 8175128    0    0     0     0  707  480 50  1 50  0  0
 2  0      0 7672700 286712 8175128    0    0     0     0  690  429 48  2 50  0  0
 2  0      0 7672700 286712 8175128    0    0     0    16  695  436 50  1 49  0  0
 2  0      0 7672700 286712 8175128    0    0     0    32  709  469 49  1 50  0  0
 2  0      0 7672700 286712 8175128    0    0     0     0  705  460 49  1 50  0  0
 2  0      0 7672700 286712 8175128    0    0     0     0  692  443 49  1 49  0  0
 2  0      0 7672700 286712 8175132    0    0     0     0  696  454 49  2 50  0  0
 2  0      0 7672700 286712 8175132    0    0     0     0  683  422 49  1 50  0  0
 2  0      0 7672700 286712 8175132    0    0     0    16  694  444 48  2 50  0  0
 2  0      0 7672700 286712 8175132    0    0     0     0  699  464 49  2 50  0  0
 2  0      0 7670840 286712 8175132    0    0     0     0  731  534 48  2 50  0  0
 2  0      0 7670840 286712 8175132    0    0     0     0  706  469 48  2 49  0  0
 2  0      0 7670840 286712 8175132    0    0     0     0  717  446 48  2 50  0  0
 2  0      0 7670840 286712 8175132    0    0     0    16  749  513 49  2 49  0  0
 2  0      0 7670840 286712 8175132    0    0     0     0  763  543 49  3 49  0  0
